"","info_enc_30","info_enc_30_otro","mesp_112","mesp_113","esp_1","esp_8","esp_9","esp_69","esp_114_a","esp_114_b","esp_4","esp_49","esp_50","esp_55_a","esp_55_b","esp_115","mesp_116","mesp_117","mesp_117_1","mesp_117_2","esp_40_a","esp_40_b","esp_87","esp_88","iden_pol_2","democracia_21","democracia_19","pobreza_62","pobreza_63","medio_ambiente_37","mtf_42_d","mtf_43_b","interes_pol_1_b","esp_44","confianza_6_c","confianza_6_j","confianza_6_d","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_a","confianza_6_b","confianza_6_g","confianza_6_y","confianza_6_m","confianza_6_ab","confianza_6_ac","confianza_6_ad","confianza_6_ae","confianza_6_af","esp_89_a","esp_89_b","esp_89_c","esp_120_a","esp_120_b","esp_120_c","confianza_8_a","mesp_90_1","mesp_90_2","mesp_90_3","mesp_11_q","mesp_11_b","mesp_11_c","mesp_11_p","mesp_11_r","constitucion_5_a","constitucion_5_b","constitucion_5_c","esp_91_a","esp_91_b","esp_91_d","esp_91_e","esp_91_f","esp_122","mesp_36_a","mesp_36_b","mesp_36_e","mesp_36_f","nmesp_36_aa","nmesp_36_bb","nmesp_36_ee","nmesp_36_ff","esp_92_a","esp_92_b","esp_92_c","esp_92_d","esp_92_e","esp_92_f","esp_92_g","esp_93_a","esp_93_b","esp_93_c","esp_93_d","esp_93_e","esp_93_f","esp_93_g","esp_126_1","esp_126_2","percepcion_1_a","percepcion_1_b","percepcion_1_c","esp_127_1","esp_127_2","esp_127_3","esp_127_4","esp_94_a","esp_94_b","esp_94_c","esp_94_d","esp_94_e","esp_94_f","esp_94_g","esp_94_h","esp_94_i","esp_94_j","esp_129","esp_130","esp_95","esp_96_1","esp_96_2","esp_97","esp_131","esp_132","esp_133_a","esp_133_b","esp_134","esp_135_a","esp_135_b","esp_136","esp_137_a","esp_137_b","esp_138_a","esp_138_b","esp_139","esp_140","esp_141_a","esp_141_b","esp_142_a","esp_142_b","esp_142_c","esp_143_a","esp_143_b","esp_143_c","esp_143_d","uesp_143_e","resp_143_e","esp_143_f","esp_111_d","rol_gobierno_27","esp_17","esp_145_1","esp_145_2","esp_146_a","esp_146_b","esp_146_c","esp_146_d","esp_147_a","esp_147_b","esp_147_c","esp_147_d","esp_147_e","esp_148_a","esp_148_b","esp_148_c","esp_148_d","esp_148_e","esp_148_f","esp_148_g","esp_148_h","esp_148_i","esp_148_j","sexo","edad","estado_civil","info_enc_29","info_enc_23","esc_nivel_1","info_enc_12_b","mesp_73","mesp_149","mesp_150","mesp_151","rmesp_152","esp_153","info_enc_1_a_1","info_enc_1_a_2","info_enc_57","info_hogar_17","religion_82","religion_2","bienestar_21","interes_pol_2_c","interes_pol_2_d","interes_pol_2_e","info_hogar_1_a","info_hogar_2_b","info_hogar_2_c","info_hogar_32","info_hogar_33","info_hogar_21_n","info_enc_60","info_enc_52","info_enc_54","gse","muestra","zona_u_r","id_region","region","id_estrato","estrato","encuesta","encuesta_a","encuesta_m","secu","pond"
"633",5,NA,2,NA,88,4,3,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,1,NA,10,3,5,88,10,10,5,5,3,3,5,1,4,4,4,4,4,4,3,4,2,3,4,3,88,3,4,4,3,4,3,88,NA,NA,NA,NA,NA,4,88,NA,NA,88,88,88,4,88,1,3,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,3,1,1,1,NA,NA,NA,1,NA,NA,NA,1,2,7,1,13,1,2,NA,NA,1,1,1,1,1,1,1,1,8,1,1,5,88,88,NA,7,88,NA,NA,NA,3,NA,NA,3,2,2,3,3,1,1,1,6,6,2,1,1,1,1,2,1,NA,2,3,1,3,NA,NA,1,3,3,3,2,5,2,5,5,5,3,3,5,5,5,5,5,5,5,2,45,1,1,2,3,9,2,1,1,2,NA,1,66666,10,2,4,1,3,3,3,2,3,3,1,1,2,1,2,1,100,1,4,1,1,14,"LOS RÍOS","8","Percordillera sur",87,2022,7,87168,0.36470795
"634",5,NA,1,9,1,2,3,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,5,1,1,3,88,1,9,5,10,5,4,4,5,1,4,4,4,3,4,3,1,4,4,3,1,1,4,2,3,3,3,4,3,1,NA,NA,3,NA,NA,4,88,NA,NA,4,3,3,2,6,2,NA,88,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,3,1,2,4,1,1,1,1,NA,1,1,NA,NA,1,NA,11,10,5,88,NA,NA,NA,1,2,2,3,2,1,2,1,2,2,1,5,10,1,NA,1,88,NA,NA,NA,5,NA,NA,5,4,3,3,2,1,1,1,6,5,6,4,2,2,2,2,NA,2,2,1,1,2,1,NA,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,45,1,1,2,3,2,2,1,1,2,4,3,5249,5,1,NA,2,3,2,3,3,3,2,1,0,1,1,2,1,100,1,3,1,2,9,"ARAUCANÍA","2","Costa norte",87,2022,7,87458,0.34365509
"635",5,NA,1,1,1,2,7,2,1,2,3,1,8,1,NA,1,3,2,NA,NA,1,4,1,3,4,99,10,5,5,5,4,4,5,1,88,4,4,2,4,4,3,4,3,1,2,4,4,3,4,3,2,4,2,88,NA,NA,NA,NA,NA,4,1,NA,NA,4,6,6,3,6,2,NA,88,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,5,1,3,3,1,1,1,1,NA,1,1,NA,NA,1,NA,1,3,5,1,2,NA,NA,1,1,1,4,4,1,1,1,1,1,3,5,10,1,NA,1,3,NA,NA,NA,88,NA,NA,4,4,4,3,3,1,88,1,6,6,6,6,2,2,2,2,2,NA,2,1,2,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,45,9,1,2,2,9,2,2,1,2,NA,3,66666,10,1,NA,1,5,3,3,3,3,1,1,0,2,1,2,1,100,1,4,1,1,9,"ARAUCANÍA","2","Costa norte",87,2022,7,87073,0.63877747
"636",5,NA,1,88,1,2,4,2,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,88,NA,10,3,88,3,10,88,10,10,2,5,5,1,3,4,3,3,4,3,3,4,3,4,3,4,4,1,3,2,3,3,3,88,NA,NA,NA,NA,NA,4,88,NA,NA,3,6,6,7,6,1,11,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,2,1,1,2,1,1,1,1,NA,NA,1,NA,NA,NA,88,NA,26,3,7,88,NA,NA,NA,2,4,3,3,3,2,2,3,8,8,5,88,88,88,NA,1,88,NA,NA,NA,5,NA,NA,5,2,8,3,2,88,88,88,NA,6,6,6,2,2,2,2,7,NA,2,4,2,3,NA,NA,1,2,2,8,3,4,4,2,4,2,4,2,2,2,4,2,5,2,2,2,45,4,3,2,0,1,2,1,1,2,NA,3,66666,10,1,NA,2,9,3,3,3,3,2,0,0,2,1,2,1,100,1,4,1,1,14,"LOS RÍOS","8","Percordillera sur",87,2022,7,87180,0.23864992
"637",5,NA,1,88,1,4,7,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,3,4,6,3,7,1,10,4,1,1,5,5,4,1,3,3,4,1,4,3,3,4,1,4,4,2,4,1,4,3,1,4,3,88,NA,NA,NA,NA,NA,4,88,NA,NA,3,6,6,3,6,1,99,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,1,1,3,1,1,1,1,NA,NA,1,NA,NA,NA,88,NA,10,11,5,88,NA,NA,NA,3,2,4,1,3,2,2,3,2,2,2,4,3,99,NA,5,1,99,7,NA,5,NA,NA,5,1,1,3,2,88,88,3,7,6,6,6,1,1,2,2,NA,2,2,1,2,3,NA,NA,5,5,5,5,1,5,1,1,5,1,1,1,3,1,1,1,1,3,3,2,45,4,1,2,2,9,2,1,1,2,2,3,NA,NA,1,NA,9,9,2,3,3,3,2,0,1,1,1,2,1,100,1,4,1,2,14,"LOS RÍOS","6","Costa sur",87,2022,7,87521,0.38953707
"638",5,NA,2,NA,88,3,88,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,4,9,10,1,5,3,10,6,10,6,3,5,5,1,4,4,4,4,4,4,4,4,4,4,1,4,4,2,4,88,3,4,88,88,NA,NA,NA,NA,NA,1,88,NA,NA,4,88,88,88,88,2,NA,7,6,6,6,6,6,NA,3,3,3,1,NA,NA,NA,NA,5,5,1,2,4,1,1,1,1,NA,1,1,NA,NA,1,2,5,10,6,1,2,NA,NA,1,1,1,1,8,1,1,1,1,1,2,5,10,1,NA,6,3,NA,NA,NA,4,NA,NA,5,5,5,3,3,1,1,3,8,1,1,3,2,1,2,2,1,NA,2,3,1,3,NA,NA,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,45,1,1,2,4,9,8,4,2,2,NA,3,9211,9,2,4,2,2,4,3,2,3,3,4,0,1,1,2,1,100,1,3,1,1,8,"BIOBÍO","1","Norte",87,2022,7,88045,3.02916942
"639",5,NA,1,9,1,5,1,1,2,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,6,9,1,1,5,3,10,1,10,1,3,4,5,1,1,3,3,1,3,4,3,3,3,1,1,1,4,1,4,4,3,4,1,88,NA,NA,NA,NA,NA,4,1,2,3,3,1,1,1,1,1,4,NA,6,5,6,6,4,7,1,1,1,1,NA,NA,NA,NA,5,4,1,5,5,2,1,1,1,NA,1,1,1,NA,1,2,1,3,5,1,2,NA,NA,1,1,2,3,4,1,2,1,4,2,1,5,1,1,2,7,3,NA,NA,NA,3,NA,NA,3,1,1,2,2,1,1,1,2,6,6,6,2,2,2,2,2,NA,2,1,2,1,NA,NA,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,9,5,2,45,1,1,2,2,1,2,3,1,2,NA,1,66666,10,2,4,1,3,2,2,2,3,2,3,1,2,1,2,1,100,1,3,1,1,10,"LOS LAGOS","9","Chiloe",87,2022,7,87138,0.46416061
"640",5,NA,1,88,2,3,3,1,1,2,4,5,NA,1,NA,1,5,2,NA,NA,9,4,3,3,1,1,1,5,5,5,4,4,3,1,4,4,3,4,1,3,3,3,3,4,4,3,1,2,4,3,3,4,3,88,NA,NA,NA,NA,NA,4,88,NA,NA,3,7,7,7,7,1,3,NA,6,6,6,6,6,NA,1,3,5,5,NA,NA,NA,NA,3,5,1,2,1,1,1,1,3,NA,2,NA,NA,NA,1,2,13,8,7,1,2,3,NA,1,1,2,2,2,2,1,1,1,1,3,4,10,1,2,4,2,1,4,5,1,6,1,3,3,2,3,2,1,1,10,NA,4,1,1,1,1,1,1,1,NA,2,3,1,2,1,NA,3,5,5,5,3,5,5,3,5,3,5,5,5,5,5,5,5,5,2,2,45,7,1,2,10,5,2,1,1,2,NA,3,2635,2,1,NA,9,9,3,1,2,1,0,2,0,2,1,2,1,100,1,3,1,1,14,"LOS RÍOS","6","Costa sur",87,2022,7,87156,0.09760394
"641",5,NA,1,1,1,3,7,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,9,3,10,3,5,3,10,10,10,10,4,5,5,1,4,4,3,3,3,4,1,3,2,1,2,1,4,4,3,3,3,3,1,88,NA,NA,NA,NA,NA,4,88,NA,NA,4,7,1,6,7,2,NA,10,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,2,1,5,6,88,NA,NA,NA,1,1,1,1,3,2,2,2,1,2,3,3,10,1,NA,3,1,88,2,5,5,NA,NA,5,3,3,3,3,1,1,1,6,5,5,5,2,1,2,2,1,NA,2,1,1,2,88,NA,4,3,3,3,3,3,3,5,4,4,4,5,4,4,4,5,4,4,4,2,45,4,1,2,2,1,2,1,1,2,NA,1,9112,9,2,2,1,9,3,2,3,3,4,2,0,2,1,2,1,100,1,3,1,1,8,"BIOBÍO","2","Costa norte",87,2022,7,87032,1.05647884
"642",5,NA,2,NA,2,1,1,1,2,NA,NA,NA,NA,NA,1,2,5,2,NA,NA,4,3,5,2,5,3,6,6,5,6,5,5,5,1,4,4,3,3,3,4,3,3,1,3,3,3,3,4,4,4,4,4,4,1,NA,NA,9,NA,NA,3,1,NA,NA,4,7,7,7,7,1,88,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,1,5,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,5,6,7,1,2,NA,NA,1,1,3,1,3,2,1,1,4,3,3,3,6,88,NA,6,3,NA,NA,NA,5,NA,NA,5,1,1,2,2,88,88,1,2,6,6,6,2,2,2,2,2,NA,2,7,1,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,45,1,1,2,7,1,2,1,1,2,NA,3,4110,4,2,9,1,8,2,2,3,3,1,1,0,2,1,2,1,100,1,3,1,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87117,0.54514313
"643",5,NA,1,2,1,3,2,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,11,4,9,3,5,1,5,5,10,1,3,5,2,1,1,3,4,2,3,3,2,3,1,2,2,2,3,2,4,2,3,3,2,1,NA,NA,1,NA,NA,3,88,NA,NA,1,2,2,2,88,1,99,NA,5,5,6,6,6,1,2,1,1,1,NA,NA,NA,NA,5,5,1,4,2,5,1,1,3,NA,1,1,1,NA,1,2,3,17,1,1,2,NA,NA,3,2,2,1,2,1,1,1,3,1,3,5,10,1,2,3,1,1,2,5,1,7,2,4,2,2,2,2,88,99,2,1,5,5,5,2,2,1,2,2,NA,2,2,2,3,NA,NA,4,5,4,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,2,45,3,1,2,6,1,2,2,1,2,NA,3,4120,4,1,NA,1,3,2,1,1,1,1,1,0,2,1,1,1,100,1,3,1,1,10,"LOS LAGOS","9","Chiloe",87,2022,7,87127,0.42237985
"644",5,NA,2,NA,2,4,1,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,9,6,6,88,5,3,10,6,88,2,2,4,5,1,4,4,3,4,4,4,3,4,3,3,4,4,4,88,4,4,3,4,1,88,NA,NA,NA,NA,NA,4,88,NA,NA,88,3,88,1,88,1,88,NA,5,6,6,6,6,5,8,1,1,1,NA,NA,NA,NA,4,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,10,13,5,88,NA,NA,NA,2,1,2,3,1,1,2,1,8,8,2,5,6,88,NA,3,3,NA,NA,NA,2,7,3,3,1,3,8,3,1,1,9,1,6,6,6,2,2,2,2,7,NA,2,3,2,3,NA,NA,5,5,5,5,3,5,3,1,1,2,5,5,5,4,5,4,5,3,3,2,45,4,1,2,2,1,1,NA,2,2,NA,3,6113,6,1,NA,1,7,2,2,3,3,2,0,0,2,1,2,1,100,1,4,1,1,14,"LOS RÍOS","8","Percordillera sur",87,2022,7,87184,0.17948052
"645",5,NA,2,NA,1,2,2,1,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,6,7,10,3,10,1,5,10,10,10,4,4,3,1,4,4,4,2,4,4,2,4,4,4,3,4,4,1,4,4,3,4,4,1,2,NA,1,1,NA,4,88,NA,NA,2,2,2,2,2,1,1,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,3,3,1,1,3,3,1,1,1,NA,NA,1,1,NA,1,NA,1,9,17,88,NA,NA,NA,1,1,3,3,3,3,1,1,3,3,5,3,10,88,NA,2,3,NA,NA,NA,5,NA,NA,5,3,3,2,2,1,88,1,8,6,6,3,1,1,1,1,1,NA,2,1,8,3,NA,NA,3,3,3,4,5,5,5,4,5,4,4,5,5,4,5,5,3,5,3,2,45,4,1,2,4,1,2,1,1,2,NA,3,5230,5,1,NA,2,6,3,2,2,2,1,2,1,1,1,2,1,100,88,3,1,1,8,"BIOBÍO","3","Valle central",87,2022,7,87048,1.58526975
"646",5,NA,1,2,1,3,7,2,1,7,4,6,NA,1,NA,1,3,2,NA,NA,1,9,1,3,5,1,10,1,4,1,3,5,5,1,2,4,4,2,3,3,4,3,1,2,4,4,4,3,4,4,88,88,2,88,NA,NA,NA,NA,NA,4,88,NA,NA,3,6,6,6,6,2,NA,1,6,3,6,4,4,1,1,1,5,5,NA,NA,NA,NA,5,5,1,4,1,1,1,1,3,NA,1,NA,NA,NA,1,NA,3,25,17,1,2,NA,NA,4,1,4,2,1,1,3,1,4,2,3,3,10,1,NA,7,2,88,6,4,88,NA,NA,4,4,4,3,3,1,1,1,6,6,6,6,1,2,2,2,NA,2,2,2,1,3,NA,NA,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,5,2,45,4,1,2,1,3,2,1,1,2,3,3,6340,6,1,NA,1,6,3,3,3,3,1,1,0,2,1,2,1,100,1,4,1,2,10,"LOS LAGOS","9","Chiloe",87,2022,7,87490,0.32397066
"647",5,NA,2,NA,1,3,1,2,2,NA,NA,NA,NA,NA,1,1,5,2,NA,NA,1,10,10,2,5,3,8,7,6,5,5,5,5,1,3,4,4,1,4,4,3,4,2,4,4,4,4,3,3,4,4,4,3,88,NA,NA,NA,NA,NA,3,88,NA,NA,4,7,7,7,7,2,NA,5,3,3,6,6,6,1,1,1,1,1,NA,NA,NA,NA,3,1,3,2,3,3,1,1,NA,1,3,1,1,NA,88,NA,5,3,13,88,NA,NA,NA,2,1,2,2,2,2,1,2,4,4,3,88,10,88,NA,6,3,NA,NA,NA,4,NA,NA,5,2,2,2,2,88,99,1,7,6,6,5,2,2,2,2,NA,7,2,1,1,3,NA,NA,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,45,3,1,2,3,1,2,1,1,2,4,3,8189,8,2,2,1,9,2,3,3,3,1,0,0,2,4,2,1,100,99,3,1,2,10,"LOS LAGOS","6","Costa sur",87,2022,7,87483,0.34329167
"648",5,NA,1,2,1,3,1,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,2,3,7,3,88,3,10,10,5,5,3,4,5,1,88,4,4,3,4,4,3,88,3,88,88,4,88,2,88,88,88,88,2,88,NA,NA,NA,NA,NA,4,1,2,NA,88,7,7,7,7,2,NA,88,6,4,6,6,4,3,1,1,1,1,NA,NA,NA,NA,3,5,1,3,1,1,1,1,1,NA,1,NA,NA,NA,1,2,1,26,5,88,NA,NA,NA,1,3,1,2,1,2,8,1,8,8,5,88,10,88,NA,6,3,NA,NA,NA,88,NA,NA,5,2,1,2,2,88,88,6,1,6,6,6,2,2,2,2,1,NA,2,1,1,3,NA,NA,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,45,1,1,2,3,9,2,1,1,2,NA,1,4223,4,2,5,9,9,2,3,3,3,2,1,1,2,1,2,1,100,1,3,1,1,10,"LOS LAGOS","9","Chiloe",87,2022,7,87133,0.44006357
"649",5,NA,1,6,2,4,1,2,1,1,4,1,NA,1,NA,1,5,3,NA,NA,3,4,10,1,5,3,1,1,5,10,3,3,5,1,4,4,4,4,3,3,4,3,4,3,3,3,4,3,3,3,4,3,3,88,NA,NA,NA,NA,NA,1,88,NA,NA,2,3,2,88,2,1,1,NA,6,6,6,6,6,NA,3,3,3,1,NA,NA,NA,NA,3,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,4,3,1,2,NA,NA,1,4,3,2,8,1,2,2,8,2,3,5,5,1,2,1,88,NA,NA,NA,88,NA,NA,3,3,3,3,3,1,1,1,NA,6,6,6,2,2,2,2,NA,2,2,7,1,3,NA,NA,5,5,5,5,3,5,5,3,5,3,3,1,5,3,5,5,1,3,3,2,45,5,1,2,2,3,2,2,1,2,2,3,5311,5,1,NA,9,9,2,3,3,3,2,1,0,1,1,2,1,100,99,3,1,2,8,"BIOBÍO","4","Precordillera norte",87,2022,7,87424,0.11008153
"650",5,NA,2,NA,2,4,7,1,1,1,4,3,NA,1,NA,1,2,2,NA,NA,5,11,10,1,10,88,10,1,10,1,2,5,5,2,4,3,3,2,3,3,3,3,3,4,1,4,3,1,4,3,1,4,1,88,NA,NA,NA,NA,NA,4,88,NA,NA,88,1,6,1,1,88,NA,88,6,6,6,6,6,NA,1,1,1,3,NA,NA,NA,NA,5,3,1,5,5,2,1,1,1,NA,1,1,1,NA,1,NA,16,6,7,1,2,3,NA,2,1,4,2,1,1,1,1,3,1,1,5,10,1,NA,7,3,NA,NA,NA,2,7,3,5,4,2,3,2,88,88,1,2,6,6,3,1,1,2,2,2,NA,1,1,2,2,1,NA,3,5,5,5,2,4,3,1,5,3,5,5,5,5,5,4,5,5,3,2,46,4,1,2,1,2,2,1,1,2,NA,1,66666,10,2,2,11,9,3,3,1,1,3,1,0,1,1,2,1,100,88,5,1,1,9,"ARAUCANÍA","5","Precordillera central",87,2022,7,87076,1.40590642
"651",5,NA,1,11,2,3,2,1,1,1,4,3,NA,1,NA,2,2,1,88,NA,2,3,10,3,88,3,10,5,10,1,2,4,5,2,88,4,4,3,4,4,4,3,3,4,1,4,4,4,4,4,2,4,4,88,NA,NA,NA,NA,NA,3,88,NA,NA,3,7,7,7,7,2,NA,11,6,6,6,6,6,NA,5,5,5,8,NA,NA,NA,NA,4,5,1,3,4,1,1,1,1,NA,1,1,NA,NA,88,NA,3,5,10,88,NA,NA,NA,2,1,4,8,2,2,2,1,8,1,3,5,10,88,NA,2,1,88,1,6,5,NA,NA,5,4,2,3,2,88,88,1,NA,6,6,6,2,2,2,2,1,NA,2,1,2,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,46,1,1,2,4,1,2,2,2,2,NA,3,NA,NA,1,NA,2,6,2,3,3,3,2,0,0,1,1,2,1,100,99,3,1,1,9,"ARAUCANÍA","5","Precordillera central",87,2022,7,87078,1.17158868
"652",5,NA,1,11,2,3,2,1,2,NA,NA,NA,NA,NA,1,2,5,2,NA,NA,3,2,10,3,88,3,10,1,10,1,2,4,3,1,4,4,3,3,88,4,3,3,3,4,3,3,88,3,4,4,1,4,4,1,NA,NA,8,NA,NA,3,88,NA,NA,4,4,4,4,4,1,2,NA,6,5,6,6,6,1,1,1,1,1,NA,NA,NA,NA,5,5,1,2,2,1,2,1,1,NA,1,1,NA,1,2,1,3,2,5,1,2,3,NA,1,1,1,1,1,1,1,1,8,1,5,1,10,88,NA,77,3,NA,NA,NA,2,11,NA,4,5,5,3,3,1,1,6,NA,6,6,6,1,1,1,2,1,NA,1,2,1,2,1,NA,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,46,3,1,2,8,1,2,1,1,2,NA,3,5413,5,1,NA,2,8,1,3,1,1,2,0,0,2,2,2,1,100,1,3,1,1,9,"ARAUCANÍA","3","Valle central",87,2022,7,87098,2.53440374
"653",5,NA,1,9,2,2,7,2,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,3,9,5,1,5,1,7,7,7,1,5,5,2,1,3,4,3,4,3,1,3,4,3,4,3,3,3,3,4,4,3,3,3,1,2,NA,3,1,NA,4,1,NA,NA,3,7,1,1,7,1,1,NA,6,6,6,4,6,8,1,8,1,1,NA,NA,NA,NA,4,5,1,1,1,3,1,1,3,NA,NA,NA,1,NA,1,2,1,16,5,1,2,NA,NA,1,2,1,2,2,1,1,1,3,1,2,5,7,1,2,3,3,NA,NA,NA,2,3,4,2,4,4,3,3,1,1,8,9,4,4,1,1,1,1,1,7,NA,1,4,1,2,1,NA,3,5,5,5,1,5,5,3,5,3,5,5,5,5,5,5,3,5,5,2,46,8,1,2,4,2,2,3,1,2,NA,3,5211,5,1,NA,2,2,3,1,2,2,1,0,0,2,1,2,1,100,1,3,1,1,8,"BIOBÍO","1","Norte",87,2022,7,87012,0.2417869
"654",5,NA,1,9,1,4,1,1,1,1,4,1,NA,1,NA,1,5,2,NA,NA,9,1,9,1,1,1,5,6,7,3,4,4,2,1,3,3,1,3,1,2,1,3,3,3,1,3,1,2,4,3,3,3,88,1,NA,NA,8,NA,NA,4,1,NA,NA,1,1,6,1,6,1,1,NA,5,6,5,6,5,1,5,5,4,8,NA,NA,NA,NA,5,5,3,1,5,3,4,1,1,1,NA,1,1,1,1,NA,9,14,3,99,NA,NA,NA,3,3,3,3,4,2,3,4,8,3,1,5,1,1,NA,8,3,NA,NA,NA,2,4,7,4,4,2,3,3,88,1,1,NA,6,6,6,2,2,2,2,NA,2,2,1,1,2,1,NA,5,5,5,5,1,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,46,3,1,2,2,9,1,NA,1,2,2,3,99999,10,1,NA,2,9,2,1,1,1,2,0,1,2,1,2,1,100,1,3,1,2,9,"ARAUCANÍA","3","Valle central",87,2022,7,87441,0.52376666
"655",5,NA,2,NA,1,3,1,1,2,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,4,3,5,3,5,3,8,5,8,3,4,4,5,2,3,4,4,3,4,4,4,4,2,2,4,4,4,3,4,4,4,4,88,88,NA,NA,NA,NA,NA,4,88,NA,NA,4,7,7,7,7,1,5,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,4,5,1,3,1,1,1,1,2,NA,1,NA,NA,NA,1,2,1,3,10,88,NA,NA,NA,1,1,1,4,4,1,4,1,4,2,1,5,10,1,NA,1,3,NA,NA,NA,4,NA,NA,5,2,2,2,2,1,1,88,NA,6,6,6,2,2,2,2,2,NA,2,1,1,3,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,46,3,1,2,4,1,2,1,1,2,NA,3,9129,9,1,NA,1,4,2,3,3,3,2,1,0,2,1,1,1,100,1,3,1,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87109,0.37717186
"656",5,NA,2,NA,1,4,1,1,2,NA,NA,NA,NA,NA,1,2,5,3,NA,NA,1,6,9,1,4,1,5,1,5,5,4,4,5,1,3,4,3,3,4,4,4,4,3,3,4,3,4,3,3,3,4,3,3,88,NA,NA,NA,NA,NA,4,88,NA,NA,4,7,7,7,7,2,NA,9,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,3,5,1,1,1,3,1,1,1,NA,NA,NA,1,NA,1,NA,3,9,26,88,NA,NA,NA,1,3,1,4,4,1,2,2,4,1,3,5,10,1,NA,3,3,NA,NA,NA,2,11,7,5,2,2,2,2,88,88,6,3,6,6,6,2,2,2,2,2,NA,2,7,2,3,NA,NA,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,46,1,1,2,4,9,2,1,1,2,NA,1,66666,10,1,NA,1,9,2,3,3,3,2,1,1,2,1,2,1,100,1,3,1,1,10,"LOS LAGOS","7","Lagos sur",87,2022,7,87108,1.38655969
"657",5,NA,1,1,1,2,7,2,1,3,2,4,1,2,NA,1,1,1,1,NA,9,12,10,1,8,1,10,10,10,7,1,1,3,2,1,4,3,2,2,2,2,3,2,2,3,2,4,1,2,88,2,2,2,1,2,NA,1,1,NA,3,88,NA,NA,1,1,1,1,1,1,88,NA,6,6,6,6,6,NA,1,1,1,1,NA,NA,NA,NA,5,5,3,1,1,2,1,1,1,1,NA,NA,1,NA,1,NA,1,5,6,1,2,NA,NA,4,4,4,3,3,4,1,4,4,1,1,5,10,88,NA,2,3,NA,NA,NA,2,88,NA,2,2,2,2,1,1,88,10,NA,6,6,6,2,1,1,1,NA,7,2,1,1,1,NA,NA,2,4,3,5,3,1,1,1,1,1,1,1,1,1,5,2,3,4,1,1,46,4,1,2,2,1,1,NA,3,1,1,1,6310,6,1,NA,1,3,2,3,3,1,1,0,0,2,1,1,1,100,99,4,1,2,10,"LOS LAGOS","9","Chiloe",87,2022,7,87489,0.35904875
